																																																																																									
Set	Cluster	ID	ionMz	Label	59.0137	71.0139	74.0249	85.0296	87.0086	88.0405	89.0245	101.0243	102.0562	109.0407	112.0518	113.0246	115.0038	117.0195	118.051	118.9807	122.0247	128.0355	129.0192	130.0506	130.0875	131.0355	131.0824	132.0303	133.014	135.0311	145.0144	145.0617	145.0984	146.0458	147.0297	147.0655	151.0403	152.0354	153.0173	154.062	165.0554	166.0506	166.9758	168.0663	171.0302	173.0095	173.0454	173.0711	179.0348	179.0561	184.0021	186.1139	211.0603	213.0145	218.1033	225.0991	237.0282	249.0552	251.0776	259.0227	266.0886	279.2331	307.0311	316.2857	317.2143	323.0277	338.9889	346.0558	347.0589	362.0509	365.0531	367.0185	388.9441	397.1319	401.0173	426.0221	441.3372	489.9937	505.9889	521.984	545.3994	604.0696	606.0744	611.144	664.117	665.2139	766.1076	784.1495	808.118
A	WT	1	0001 / zwf1^ 3.4	zwf1^	53182	641	5734	1042	1294	1940	2755	902	1260	4804	2244	3641	1372	1619	53492	4686	804	48332	1789	602	51846	352	67760	25954	13271	5321	4316	99404	9802	122118	2362	4212	1066	1670	841	51670	2013	1442	597	3297	729	1996	1705	2544	925	9122	30353	65	5491	1934	6759	1865	9971	4604	4049	31983	1093	4893	1354	2135	1874	4797	35705	13758	2877	1590	3699	3503	1558	2712	749	57676	1852	3991	153672	23348	6988	64597	114975	7538	4107	3095	3877	2040	3349
A	WT	2	0002 / zwf1^ 3.4	zwf1^	57902	1767	2889	1228	1531	990	2511	606	1105	2865	2446	2484	1368	689	57213	2559	523	45096	1082	866	41534	473	67745	25376	15905	4403	3171	87453	8920	128319	1682	4360	1232	1353	2676	50163	2618	1313	1040	2377	1310	2141	1004	2319	896	8637	31504	1192	7589	1431	6919	2574	9504	4915	2759	33107	1421	4021	1607	2255	1795	4221	32147	13744	3641	1910	3484	4023	1708	2642	2308	72022	1706	3237	184947	26203	5613	75636	131864	8365	4607	4145	5541	2816	6021
A	WT	3	0003 / zwf1^ 3.4	zwf1^	51861	491	3540	1054	2448	1928	1608	677	1154	2347	2374	2215	2028	956	46924	4771	899	44728	1116	492	38591	296	59964	27186	11437	3795	1572	75055	4652	117749	854	3090	1901	2434	2009	43104	1681	1990	1965	3039	2427	1761	933	1686	1197	6394	26895	1150	5719	1008	4632	2566	7285	4036	2733	30721	950	4411	685	2609	2532	4428	36685	13350	3432	1242	2946	2408	2312	2405	1386	64210	1695	2573	162757	22678	6304	64496	114834	7459	4293	3090	3279	1465	5946
A	WT	4	0004 / zwf1^ 3.4	zwf1^	62812	1648	6611	914	2578	1633	2480	581	1096	4227	2158	3107	1835	1411	69855	4392	180	55237	1375	1810	53052	1026	83359	27961	16933	6159	2107	107213	8076	147207	2910	5448	1385	1820	1368	62872	2467	616	228	1640	1966	1564	1113	2160	1315	10349	35479	323	4076	2008	4191	2244	9111	7775	1592	32933	1126	5743	322	1444	1302	4390	38143	13984	3205	2236	2178	2931	1391	1857	1846	75654	1926	3735	193098	25871	7033	76118	137734	6667	6285	4698	4961	2726	7357
A	WT	5	0005 / zwf1^ 3.4	zwf1^	54291	1525	3965	872	1812	1348	2306	1630	803	2882	1113	2422	1044	1399	46771	3980	781	41685	1326	553	38902	405	62509	21212	13225	3761	1812	72563	5684	110659	3059	4798	1541	1048	1598	41369	2481	1386	526	2140	84	1374	420	1291	1093	8003	28095	1328	4328	3140	4404	2562	7080	4269	1875	29956	457	4240	1244	2182	1593	4284	34385	14993	3606	2176	2388	2292	1663	2236	1695	64412	2019	3918	166211	22464	6646	67845	121045	8957	5474	4182	5072	2647	5559
A	WT	6	0006 / zwf1^ 3.4	zwf1^	54395	1562	5835	1086	2250	1787	1131	1163	497	2609	1643	3435	3042	1791	67210	3383	393	58322	979	1347	48161	1170	77795	30957	17969	5646	1037	108229	7105	148282	2732	5820	1551	745	1055	56973	3227	1206	217	2288	1880	1580	1697	2408	1663	7836	37707	605	5767	2048	4726	2640	10369	5818	2309	36050	1122	4714	1201	1420	2756	4675	40003	14931	2841	2009	2738	3082	2430	3001	1938	78340	1600	3907	191784	30496	6606	71805	132129	8610	6415	3481	4482	2706	7295
A	WT	7	0007 / zwf1^ 3.4	zwf1^	59054	1461	5179	324	1500	981	1482	366	1539	2672	1528	3093	1362	968	51644	4407	879	57034	2093	1072	47538	854	68176	24315	14501	5417	1839	94263	5496	134429	2223	5961	1076	2302	2144	48259	1722	2230	706	2407	2765	1362	934	1620	982	8240	32593	999	4818	3031	4213	2530	8183	2191	2115	30825	1029	4209	789	2720	1983	3935	35614	14855	4043	1737	2757	2495	998	1942	1707	63163	2003	3404	172660	24197	6538	63481	117247	10242	4188	3785	4296	2594	6101
A	WT	8	0008 / zwf1^ 3.4	zwf1^	52547	896	4241	382	1614	1556	1338	963	1356	3710	2750	2273	1801	771	55579	4879	484	52623	1498	649	48607	1168	62849	24842	15226	5320	2456	99290	5559	132828	1726	5639	1142	1081	1971	47442	2004	1375	1201	1924	1812	1335	506	1143	1123	9087	33175	741	4911	4974	4778	2377	7017	4261	3380	28665	1237	5022	1060	3173	1693	3655	36833	13611	2490	2307	2758	2481	1351	3671	1380	68717	1724	3676	175665	23866	6060	67193	116464	7280	4931	3012	3457	3299	6192
A	WT	9	0009 / zwf1^ 3.4	zwf1^	57544	1076	4610	565	1669	1362	1951	513	945	2753	2728	2899	2275	1057	51202	4277	755	45329	762	943	48542	609	64624	26604	12437	5738	3143	88269	7550	125119	3258	5056	2244	1394	1353	51032	1556	657	1358	2312	1631	1774	573	1095	865	10560	29189	305	4703	2885	4691	2157	9032	3200	2373	33241	719	5172	820	2307	1402	4314	37912	15383	2580	1298	3400	2644	1357	2510	1810	64318	2451	3922	174404	25054	6766	68697	130045	7165	6117	3053	4989	2659	6002
